,Channel,Region,Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicassen,x_kpca_rbf,y_kpca_rbf,cluster_kpca_rbf
0,Retail,other,12669,9656,7561,214,2674,1338,0.07837370589555141,-0.17311460364284073,2
1,Retail,other,7057,9810,9568,1762,3293,1776,0.18581254641290768,-0.3074147140645972,2
2,Retail,other,6353,8808,7684,2405,3516,7844,0.34170153813262255,0.07504775170557643,3
3,HoReCa,other,13265,1196,4221,6404,507,1788,-0.2533035236583455,0.25035242631907617,0
4,Retail,other,22615,5410,7198,3915,1777,5185,0.1366167136889868,0.3752792354602766,1
5,Retail,other,9413,8259,5126,666,1795,1451,-0.08895330433843483,-0.21226471169213584,4
6,Retail,other,12126,3199,6975,480,3140,545,-0.1435304125938085,-0.16630589319905778,4
7,Retail,other,7579,4956,9426,1669,3321,2566,0.04089698583784334,-0.26271559872797035,2
8,HoReCa,other,5963,3648,6192,425,1716,750,-0.2204840295429031,-0.30515778836974733,4
9,Retail,other,6006,11093,18881,1159,7425,2098,0.7089688368462719,-0.2911925018216331,3
10,Retail,other,3366,5403,12974,4400,5977,1744,0.3197406409241954,-0.3065245780476246,2
11,Retail,other,13146,1124,4523,1420,549,497,-0.3554518255692504,0.013874803248531966,4
12,Retail,other,31714,12319,11757,287,3881,2931,0.38544654450739474,0.33572883668073555,1
13,Retail,other,21217,6208,14982,3095,6707,602,0.3895006007283218,0.059373813275348075,3
14,Retail,other,24653,9465,12091,294,5058,2168,0.3555111665729348,0.14421778495165286,1
15,HoReCa,other,10253,1114,3821,397,964,412,-0.35435520006086146,-0.11021859390248878,4
16,Retail,other,1020,8816,12121,134,4508,1080,0.3226356449874307,-0.47221899771116616,2
17,HoReCa,other,5876,6157,2933,839,370,4478,-0.0700024989623086,-0.09035047264311902,4
18,Retail,other,18601,6327,10099,2205,2767,3181,0.11654191916216333,0.11785312476009348,1
19,HoReCa,other,7780,2495,9464,669,2518,501,-0.12022755406904669,-0.28354820077109355,4
20,Retail,other,17546,4519,4602,1066,2259,2124,-0.14690021076745444,0.09957113896938705,0
21,HoReCa,other,5567,871,2010,3383,375,569,-0.3995107138663485,-0.09264082017742034,4
22,HoReCa,other,31276,1917,4469,9408,2381,4334,0.20435998773200187,0.6356359259636721,1
23,Retail,other,26373,36423,22019,5154,4337,16523,0.39026615726915054,0.2569496025734209,1
24,Retail,other,22647,9776,13792,2915,4482,5778,0.4278165407333476,0.2247836866072273,1
25,Retail,other,16165,4230,7595,201,4003,57,-0.0316351287340542,-0.07255095160998674,4
26,HoReCa,other,9898,961,2861,3151,242,833,-0.40014060362739395,0.008535414697348743,4
27,HoReCa,other,14276,803,3045,485,100,518,-0.3700525126455123,0.05391791921403477,0
28,Retail,other,4113,20484,25957,1158,8604,5206,0.7016207368605816,0.07310145750803977,3
29,HoReCa,other,43088,2100,2609,1200,1107,823,0.1826835473898088,0.6814840445911232,1
30,HoReCa,other,18815,3610,11107,1148,2134,2963,0.04311921712672565,0.11745335924201455,0
31,HoReCa,other,2612,4339,3133,2088,820,985,-0.294786626245675,-0.2721066923785618,4
32,HoReCa,other,21632,1318,2886,266,918,405,-0.2515720524686853,0.2660610840718824,0
33,HoReCa,other,29729,4786,7326,6130,361,1083,0.041823502890765155,0.6263327105684744,1
34,HoReCa,other,1502,1979,2262,425,483,395,-0.33950761274923485,-0.28598298885766155,4
35,Retail,other,688,5491,11091,833,4239,436,0.15318548998697978,-0.4720462749746826,2
36,HoReCa,other,29955,4362,5428,1729,862,4626,0.11579078334966625,0.5158516314924017,1
37,Retail,other,15168,10556,12477,1920,6506,714,0.44744621040016624,-0.150556075979412,3
38,Retail,other,4591,15729,16709,33,6956,433,0.6931422223897343,-0.2710746455693035,3
39,HoReCa,other,56159,555,902,10002,212,2916,0.3812905631536113,0.5589487619332958,1
40,HoReCa,other,24025,4332,4757,9510,1145,5864,0.21152963142588124,0.5158501567286052,1
41,HoReCa,other,19176,3065,5956,2033,2575,2802,-0.09230035545523313,0.19668690026864874,0
42,Retail,other,10850,7555,14961,188,6899,46,0.4630010122647913,-0.29270653126545637,3
43,Retail,other,630,11095,23998,787,9529,72,0.7874656499758462,-0.2060123987575115,3
44,Retail,other,9670,7027,10471,541,4618,65,0.16846143696562305,-0.3160674267550959,2
45,Retail,other,5181,22044,21531,1740,7353,4985,0.6868279055313029,0.053047797260248,3
46,Retail,other,3103,14069,21955,1668,6792,1452,0.7630314684360966,-0.2376643694653715,3
47,Retail,other,44466,54259,55571,7782,24171,6465,0.3902727289147304,0.25796698855143413,1
48,Retail,other,11519,6152,10868,584,5121,1476,0.20654515531327797,-0.2600170566936908,2
49,Retail,other,4967,21412,28921,1798,13583,1163,0.7289714387313025,0.11588236817646075,3
50,HoReCa,other,6269,1095,1980,3860,609,2162,-0.3430795910530945,-0.035973347916172425,4
51,HoReCa,other,3347,4051,6996,239,1538,301,-0.18086905028942638,-0.36795041693233754,4
52,Retail,other,40721,3916,5876,532,2587,1278,0.2038552173913678,0.6261716702573177,1
53,Retail,other,491,10473,11532,744,5611,224,0.40394933313327286,-0.4491321359123351,2
54,HoReCa,other,27329,1449,1947,2436,204,1333,-0.16262992294600162,0.5367169722978512,0
55,HoReCa,other,5264,3683,5005,1057,2024,1130,-0.2336587348187082,-0.298858883508922,4
56,Retail,other,4098,29892,26866,2616,17740,1340,0.5426398038264199,0.23277421501496728,1
57,Retail,other,5417,9933,10487,38,7572,1282,0.4746777128635696,-0.3834965416127782,3
58,HoReCa,other,13779,1970,1648,596,227,436,-0.37828293057305634,0.03896555000533209,4
59,HoReCa,other,6137,5360,8040,129,3084,1603,-0.022022933753793678,-0.35734584140664966,2
60,Retail,other,8590,3045,7854,96,4095,225,-0.05983051989665671,-0.2986881440336675,2
61,Retail,other,35942,38369,59598,3254,26701,2017,0.39299139703676006,0.2596203904566626,1
